time, x, y, velocity, accel, heading
0, 0, -1, 0.0, 3.0, 0
0.666666666667, 0.666666666667, -1.0, 2.0, 0, 0
2.16666666667, 5, -1, 2.0, 0, 0
2.16666666667, 6, 1, 2.0, 3.0, 90
2.16666666667, 6.0, 1.0, 2.0, 0, 90
6.66666666667, 6, 10, 2.0, 0, 90
6.66666666667, 5, 11, 2.0, 3.0, 180
6.66666666667, 5.0, 11.0, 2.0, 0, 180
11.6666666667, -5, 11, 2.0, 0, 180
11.6666666667, -6, 10, 2.0, 3.0, 315
11.6666666667, -6.0, 10.0, 2.0, 0, 315
14.4950937914, -2, 6, 2.0, 0, 315
14.4950937914, -2, 4, 2.0, 3.0, 225
14.4950937914, -2.0, 4.0, 2.0, 0, 225
16.616414135, -5, 1, 2.0, 0, 225
16.616414135, -5, -1, 2.0, 3.0, 0
16.616414135, -5.0, -1.0, 2.0, 0, 0
19.116414135, 0, -1, 2.0, 0, 0
